deal_no,date,date_original,hoda,win,deal_val,acq_name,tar_name,acq_gvkey,tar_gvkey,acq_ev_len,tar_ev_len,acq_es_len,tar_es_len,acquired,own,sought,control,acq_mv_tom,acq_mv,acq_mv_valid,acq_factor,acq_p_classes,tar_mv_tom,tar_mv,tar_mv_valid,tar_factor,tar_p_classes,acq_ultimo,tar_ultimo,acq_naics_tom,acq_naics,acq_naics_valid,acq_sic,acq_sic_crsp,acq_sic_crsp_valid,tar_naics,tar_naic_crsp,tar_naics_crsp_valid,tar_sic,tar_sic_crsp,tar_sic_crsp_valid,hor_level,fin_indu,acq_acq_oth,tar_tar_oth,tar_tar_oth_tom,acq_bm,tar_bm,acq_eb_at,tar_eb_at,com_siccd,com_naics,com_growth,bea_growth,estab,rcptot,c4,c8,c20,c50,USBC_rd_ratio,USBC_sal_ratio,USBC_export,USBC_import,com_grow_equal_w,com_grow_market_w,com_grow_median_w,com_grow_equal_p,com_grow_market_p,com_grow_median_p,com_assets_equal_w,com_assets_market_w,com_assets_median_w,com_assets_equal_p,com_assets_market_p,com_assets_median_p,com_atrv_equal_w,com_atrv_market_w,com_atrv_median_w,com_atrv_equal_p,com_atrv_market_p,com_atrv_median_p,com_fxvc_equal_w,com_fxvc_market_w,com_fxvc_median_w,com_fxvc_equal_p,com_fxvc_market_p,com_fxvc_median_p,com_xrd_equal_w,com_xrd_market_w,com_xrd_median_w,com_xrd_equal_p,com_xrd_market_p,com_xrd_median_p,assets_relprev,assets_rel,"acq_car_[-63, 63]","tar_car_[-63, 63]","com_car_[-63, 63]","acq_car_(-5, 5)","tar_car_(-5, 5)","com_car_(-5, 5)","acq_car_(-40, 5)","tar_car_(-40, 5)","com_car_(-40, 5)","acq_car_(-20, 5)","tar_car_(-20, 5)","com_car_(-20, 5)","acq_car_(-30, 5)","tar_car_(-30, 5)","com_car_(-30, 5)"
960186020,10/01/2000,10/01/2000,,"[-316, -64, -63, 63]",304.072,"Carolina First Corp,SC",Anchor Financial Corp,17640,24279,127,126,253,251,100,100,100,TRUE,456.512,519.63525,TRUE,1,1,226.517,263.86675,TRUE,1,1,TRUE,TRUE,522110,,0,6021,6020,1,522190,,0,6022,6020,1,3,TRUE,0,0,0,0.766245938,7.128446691,0.02147924,0.02489045,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,22.00850506,31.979,17.1348,605.2378,673.2475,606.6848,106406.3403,514526.9465,10848.606,963.1384,975.5891,866.0544,11.44964353,11.19150562,11.4082,958.4936,956.06,948.7329,4.973020056,5.953823988,4.879247565,331.4985,511.2167,439.5581,0.00E+00,0.00E+00,0.00E+00,180.5677,180.5677,460.7402,-0.027340997,-0.289241947,-0.468068118,-0.186336945,-0.334288359,-0.112148231,0.218635551,0.042774587,-0.311802393,0.05936998,-0.142251816,-0.181231839,0.231713334,0.008517961,-0.239932188,0.124001465,-0.070409761
961107020,12/01/2000,12/01/2000,,"[-316, -64, -63, 63]",1846.235,Applied Materials Inc,Etec Systems Inc,1704,61443,127,117,253,253,100,100,100,TRUE,39071.387,30746.21875,TRUE,1,1,837.22,820.194,TRUE,1,1,TRUE,TRUE,334413,,0,3674,3550,1,333298,,0,3559,3550,1,1,FALSE,0,0,0,0.261878656,128.8306967,0.18461376,0.04802829,3674,334413,20.42967181,6.4613,904,44818228,60.3,66.7,80.1,90.8,0.085998153,86.53851388,,,54.58679371,45.1909,40.9099,778.8789,804.9842,794.7553,4245.225714,10648.87434,1546.042,207.3576,247.1804,246.6257,1.401147469,1.543451044,1.412,464.694,634.4102,521.7391,16.77628836,21.01114485,14.78548233,868.767,930.7329,869.4664,9.512338286,11.66139269,10.27726105,937.863,950.1886,943.9419,0.007255068,0.025149438,0.311653131,0.819035006,0.253222752,0.044590216,0.601715527,0.077477433,-0.009358686,0.490732203,0.023416246,0.117950098,0.643301451,0.149564844,0.119246433,0.571624578,0.148463459
961396020,13/01/2000,13/01/2000,,"[-316, -64, -63, 63]",33.793,"BancFirst Ohio Corp,OH",Milton Federal Financial Corp,28200,30759,126,119,239,191,100,100,100,TRUE,184.701,153.176625,TRUE,1,1,24.675,25.32,TRUE,1,1,TRUE,TRUE,522110,,0,6021,6710,1,522120,,0,6035,6710,1,2,TRUE,0,0,0,0.289255726,6.120210364,0.02288548,0.01506173,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,22.00850506,31.979,17.1348,605.2378,673.2475,606.6848,106406.3403,514526.9465,10848.606,963.1384,975.5891,866.0544,11.44964353,11.19150562,11.4082,958.4936,956.06,948.7329,4.973020056,5.953823988,4.879247565,331.4985,511.2167,439.5581,0.00E+00,0.00E+00,0.00E+00,180.5677,180.5677,460.7402,-0.016990503,-0.371854971,0.163043412,0.234394575,0.225346732,-0.10769078,0.173328478,-0.062422755,-0.142188919,0.113425567,-0.082410218,-0.234581818,0.239216463,-0.156521415,-0.222528519,0.132946879,-0.15532186
961446020,13/01/2000,13/01/2000,21/06/1999,"[-316, -64, -63, 63]",2612.997,The Charles Schwab Corp,"US Trust Corp,New York,NY",13988,10978,127,127,253,253,100,100,100,TRUE,30133.861,22949.54056,TRUE,1,1,1474.538,1525.240625,TRUE,1,1,TRUE,TRUE,523110,,0,6211,6211,1,522190,,0,6022,6211,1,1,TRUE,0,0,0,1.067630643,93.8113539,0.03534667,0.04690888,6211,523110,20.42967181,6.4613,4665,98929633,41.3,66.6,83.4,90.8,0.00553666,225.3597955,,,18.84038733,31.2801,28.6505,500.2085,653.9261,740.1665,30917.469,316602.1101,798.202,797.746,915.2902,111.4523,4.021397548,7.907732482,2.6376,822.7693,919.4207,797.4143,10.5171448,5.539325017,4.47306467,760.4321,370.5331,367.6005,0.00E+00,0.00E+00,0.00E+00,229.2006,229.2006,509.9575,-0.016505355,-0.015251139,0.191535127,0.453383835,0.31541022,-0.099341326,0.422336054,0.122913491,-0.349758619,0.293101712,-0.076728944,-0.125602171,0.421572578,0.108267015,-0.209038257,0.353927684,0.032644549
962017020,14/01/2000,14/01/2000,13/09/1999,"[-316, -64, -63, 63]",62.998,Equity Residential,Globe Business Resources Inc,28733,62049,127,121,253,213,100,100,100,TRUE,5088.215,5580.4295,TRUE,1,3,62.744,62.673875,TRUE,1,1,TRUE,TRUE,531190,,0,6798,6798,1,532420,,0,7359,6798,1,0,TRUE,0,0,0,0.024976647,114.2313416,,0.18885862,6798,531190,20.42967181,6.4613,10360,5490969,11.1,14.3,19.2,24.5,0.00553666,22.06686159,,,14.51584958,11.4942,8.557,412.2446,348.9601,299.2361,1830.654174,5071.629215,948.451,105.3105,148.2307,181.2092,8.346528347,6.66970096,6.5684,923.8553,866.2433,912.7391,0.055330899,0.096076543,0.00E+00,21.5256,21.5256,21.5821,0.00E+00,0.00E+00,0.00E+00,343.3411,343.3411,627.3472,0.001629558,0.23665271,0.034055015,-0.013580526,0.035165984,-0.030266547,0.03106197,-0.030373,0.042699731,-0.051074101,0.03473697,0.081555574,-0.069556908,0.080882817,0.034789315,0.008962543,0.03455026
962215020,15/01/2000,15/01/2000,14/01/2000,"[-316, -64, -63, 63]",295.834,Mail-Well Inc,American Business Products Inc,61338,1411,127,88,253,253,100,100,100,TRUE,630.326,639.749,TRUE,1,1,180.616,209.457,TRUE,1,1,TRUE,TRUE,322232,,0,2677,2677,1,323116,,0,2761,2677,1,1,FALSE,0,0,0,0.603780819,3.931110975,0.14129452,0.16846477,2677,322232,20.42967181,6.4613,166,1537660,48.6,63.1,77.2,91.2,0.03689302,34.62281103,,,13.67890403,14.4447,12.5689,276.8386,376.0647,503.8184,5621.331059,15963.84568,2495.038,467.9474,174.3238,811.2573,1.408088013,1.292994013,1.1623,253.0974,555.2373,479.2442,9.018224853,7.135895939,6.734962525,726.6965,592.7617,758.6818,0.570870735,1.167708179,0.0328886,525.7543,685.2188,677.5693,-0.027414735,-0.158605777,-0.718153411,0.419138116,-0.194490595,-0.123143759,0.544615059,0.131443845,-0.233855677,0.542762421,0.064808718,-0.187110814,0.505316647,0.079389351,-0.220579944,0.60796671,0.090321647
962266020,17/01/2000,17/01/2000,,"[-316, -64, -63, 63]",15393.528,JDS Uniphase Corp,E-Tek Dynamics Inc,29241,116431,127,127,253,219,100,100,100,TRUE,14434.97,25542.62092,FALSE,0.561092905,1,6537.322,3963.24,TRUE,1,1,TRUE,TRUE,334413,,0,3674,3670,1,334413,,0,3674,3670,1,4,FALSE,1,0,0,1.006553759,166.7773674,0.02283418,0.25962707,3674,334413,20.42967181,6.4613,904,44818228,60.3,66.7,80.1,90.8,0.085998153,86.53851388,,,54.58679371,45.1909,40.9099,778.8789,804.9842,794.7553,4245.225714,10648.87434,1546.042,207.3576,247.1804,246.6257,1.401147469,1.543451044,1.412,464.694,634.4102,521.7391,16.77628836,21.01114485,14.78548233,868.767,930.7329,869.4664,9.512338286,11.66139269,10.27726105,937.863,950.1886,943.9419,-0.00200813,0.002272735,0.23360772,0.488705913,0.113645003,0.194698278,0.483235393,0.193829781,0.514607986,0.834538874,0.481697037,0.439461593,0.708073532,0.422327232,0.398300833,0.76329531,0.37491731
962226020,18/01/2000,18/01/2000,,"[-316, -64, -63, 63]",16006.384,El Paso Energy Corp,Coastal Corp,4242,3130,127,127,253,253,100,100,100,TRUE,8490.747,4757.103625,TRUE,1,1,7142.768,8495.887125,TRUE,1,1,TRUE,TRUE,221210,,0,4922,4922,1,221210,,0,4923,4922,1,3,FALSE,1,0,0,2.51953948,0.915972586,0.07696891,0.10559895,4922,221210,20.42967181,6.4613,2376,66515186,18.4,29.2,52.8,81.9,0.043712847,58.31841048,,,37.57917642,57.8242,31.4543,629.8744,927.6781,797.2576,3971.155,14095.66345,2082.72,305.9891,227.4965,584.9861,1.964378816,1.436408212,1.6862,466.6891,617.2305,567.1855,17.71912353,5.339540357,6.51956703,869.3336,286.4889,714.1977,0.210129368,0.00391028,0.00E+00,535.0796,270.9739,343.1899,0.096345606,0.208620915,-0.083101371,0.087232729,0.027925357,-0.151197619,0.054300431,-0.01777511,-0.177641502,-0.113523149,-0.135103189,-0.102348725,0.086920327,0.020686597,-0.135916398,0.014480985,-0.037402209
964363020,20/01/2000,20/01/2000,,"[-316, -64, -63, 63]",12.5,TekInsight.com Inc,Data Systems Network Corp,26064,30887,127,127,228,246,100,100,100,TRUE,46.42,43.58475,FALSE,1,1,4.479,4.820375,TRUE,1,1,TRUE,TRUE,334611,,0,7372,5990,1,541512,,0,7373,5990,1,3,FALSE,1,0,0,0.398016266,27.74331636,-0.16587821,-0.01967417,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,13.29731127,6.0381,17.0353,397.5398,214.7731,591.2763,504.1633636,1015.264066,162.367,39.6296,36.44,37.8205,2.746340586,1.319433884,1.1721,707.9222,509.9332,458.6946,5.524370545,5.571379699,5.83306599,385.4407,377.9963,610.0402,70.53095382,10.34613448,9.35604188,966.5674,925.743,940.6239,-0.138158828,-0.41146712,-0.474175011,0.312470907,-0.483881113,0.056715459,0.270193187,0.059937731,0.09284862,0.457629001,0.094665505,0.054685055,0.087554421,0.055944956,-0.227190104,0.561613167,-0.225265347
963722020,20/01/2000,20/01/2000,,"[-316, -64, -63, 63]",132.393,Omega Research Inc,onlinetradinginc.com,65521,121201,127,127,253,90,100,100,100,TRUE,152.914,133.3265625,TRUE,1,1,,90.381375,TRUE,1,1,TRUE,TRUE,523120,,0,6211,7370,1,523110,,0,6211,7370,1,4,TRUE,0,0,0,3.287551833,3100.617733,0.10630187,0.10533643,6211,523120,20.42967181,6.4613,27776,107198773,37.8,49.7,67.3,81.3,0.00553666,124.5317199,,,18.84038733,31.2801,28.6505,500.2085,653.9261,740.1665,30917.469,316602.1101,798.202,797.746,915.2902,111.4523,4.021397548,7.907732482,2.6376,822.7693,919.4207,797.4143,10.5171448,5.539325017,4.47306467,760.4321,370.5331,367.6005,0.00E+00,0.00E+00,0.00E+00,229.2006,229.2006,509.9575,-0.006787808,-0.665408037,-1.077171567,-0.259245268,-0.093708088,-0.088860534,-0.026570353,-0.007452768,-0.254721185,-0.029952798,0.061590462,0.02290354,-0.087290811,0.049380421,-0.123723935,-0.00549947,0.087797136
