deal_no,date,date_original,hoda,win,deal_val,acq_name,tar_name,acq_gvkey,tar_gvkey,acq_ev_len,tar_ev_len,acq_es_len,tar_es_len,acquired,own,sought,control,acq_mv_tom,acq_mv,acq_mv_valid,acq_factor,acq_p_classes,tar_mv_tom,tar_mv,tar_mv_valid,tar_factor,tar_p_classes,acq_ultimo,tar_ultimo,acq_naics_tom,acq_naics,acq_naics_valid,acq_sic,acq_sic_valid,tar_naics_tom,tar_naics,tar_naics_valid,tar_sic_tom,tar_sic_valid,fin_indu,acq_acq_oth,tar_tar_oth,tar_tar_oth_tom,acq_bm,tar_bm,acq_eb_at,tar_eb_at,com_siccd,com_naics,com_growth,bea_growth,estab,rcptot,c4,c8,c20,c50,USBC_rd_ratio,USBC_sal_ratio,USBC_export,USBC_import,com_grow_equal_w,com_grow_market_w,com_grow_median_w,com_grow_equal_p,com_grow_market_p,com_grow_median_p,com_assets_equal_w,com_assets_market_w,com_assets_median_w,com_assets_equal_p,com_assets_market_p,com_assets_median_p,com_atrv_equal_w,com_atrv_market_w,com_atrv_median_w,com_atrv_equal_p,com_atrv_market_p,com_atrv_median_p,com_fxvc_equal_w,com_fxvc_market_w,com_fxvc_median_w,com_fxvc_equal_p,com_fxvc_market_p,com_fxvc_median_p,com_xrd_equal_w,com_xrd_market_w,com_xrd_median_w,com_xrd_equal_p,com_xrd_market_p,com_xrd_median_p,assets_relprev,assets_rel,acq_car_dynamic,tar_car_dynamic,com_car_dynamic,acq_car_n5_5,tar_car_n5_5,com_car_n5_5,acq_car_n40_5,tar_car_n40_5,com_car_n40_5,acq_car_n20_5,tar_car_n20_5,com_car_n20_5,acq_car_n30_5,tar_car_n30_5,com_car_n30_5
972835020,02/02/2000,02/02/2000,,"[-316, -64, -40, 5]",497.52,Wells Fargo & Co,First Commerce Bancshares Inc,8007,18238,46,43,253,223,100,100,100,TRUE,60457.806,77495.79531,TRUE,1,1,293.448,263.290875,FALSE,1,2,TRUE,TRUE,522110,,0,6021,1,522110,,0,6021,1,TRUE,1,0,0,0.013275393,311.6711924,0.03848376,0.03584786,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,23.2352126,28.59,15.5856,518.719,684.5247,567.0991,19564.45243,419829.937,852.26,713.3586,962.9369,364.0421,11.79779353,11.12495872,11.8263,960.1806,957.2798,964.0163,4.369962074,5.654951452,4.38243281,215.0301,443.3055,317.6296,0.00E+00,0.00E+00,0.00E+00,131.0897,131.0897,455.1116,0.001184961,0.237678343,-0.2423497,0.644456954,-0.243786138,0.007042649,0.154026779,0.006543288,-0.2423497,0.644456954,-0.243786138,-0.011933494,0.603956041,-0.038362715,-0.073615383,0.624766238,-0.0753816
974049020,07/02/2000,07/02/2000,04/02/2000,"[-316, -64, -40, 5]",1190.488,BB&T Corp,"One Valley Bancorp Inc,WV",11856,13055,46,46,253,253,100,100,100,TRUE,8302.08,10073.86894,TRUE,1,1,941.119,1080.904125,TRUE,1,1,TRUE,TRUE,522110,,0,6021,1,522190,,0,6021,1,TRUE,0,0,0,0.39183807,16.91571909,0.03065211,0.0285991,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,23.2352126,28.59,15.5856,518.719,684.5247,567.0991,19564.45243,419829.937,852.26,713.3586,962.9369,364.0421,11.79779353,11.12495872,11.8263,960.1806,957.2798,964.0163,4.369962074,5.654951452,4.38243281,215.0301,443.3055,317.6296,0.00E+00,0.00E+00,0.00E+00,131.0897,131.0897,455.1116,0.016167077,0.073358314,-0.174252663,-0.05198201,-0.162102664,-0.126101158,0.110177963,-0.102697506,-0.174252663,-0.05198201,-0.162102664,-0.059745681,0.054902673,-0.048544712,-0.051274252,-0.01078792,-0.047548824
975983020,11/02/2000,11/02/2000,,"[-316, -64, -40, 5]",4549.886,Equity Office Properties Trust,Cornerstone Properties Inc,65048,64633,46,46,253,253,100,100,100,TRUE,6414.71,5511.57,TRUE,1,2,2003.84,1757.7,TRUE,1,1,TRUE,TRUE,531120,,0,6798,1,531190,,0,6798,1,TRUE,0,0,0,0.301960346,3.173282698,,,6798,531120,20.42967181,6.4613,30895,51778431,11.8,17,25.1,34.2,0.00553666,32.45790271,,,14.51584958,11.4942,8.557,412.2446,348.9601,299.2361,1830.654174,5071.629215,948.451,105.3105,148.2307,181.2092,8.346528347,6.66970096,6.5684,923.8553,866.2433,912.7391,0.055330899,0.096076543,0.00E+00,21.5256,21.5256,21.5821,0.00E+00,0.00E+00,0.00E+00,343.3411,343.3411,627.3472,0.034949849,0.308213751,0.131831073,0.225319633,0.149436689,-0.069209175,0.114595284,-0.035883647,0.131831073,0.225319633,0.149436689,-0.054601021,0.112010639,-0.024213415,-0.020882511,0.112924459,0.003928328
976875020,14/02/2000,14/02/2000,,"[-316, -64, -40, 5]",3720.351,Computer Assoc Intl Inc,Sterling Software Inc,3310,10071,46,46,253,253,100,100,100,TRUE,35533.355,31836.16406,TRUE,1,1,2469.859,2413.973625,FALSE,1,1,TRUE,TRUE,334611,,0,7372,1,334611,,0,7372,1,FALSE,1,0,0,0.641502425,39.22004315,0.31115242,0.17587524,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,29.2017928,11.1885,9.1424,560.7946,350.8096,343.197,670.1679621,12472.23527,90.858,41.0781,207.0045,77.5003,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.40967533,9.763854288,5.46402366,789.6755,835.4307,486.2786,57.27389974,5.646066226,14.27464762,949.5536,887.8127,954.802,0.02180002,0.40418489,0.151827062,0.217294114,0.155627857,0.026072273,0.260239618,0.044950223,0.151827062,0.217294114,0.155627857,0.126113264,0.247447642,0.135869867,0.045204843,0.198378356,0.055760976
976848020,14/02/2000,14/02/2000,,"[-316, -64, -40, 5]",1850.363,Corning Inc,NetOptix Corp,3532,4972,46,46,253,252,100,100,100,TRUE,27415.92,25824.8175,FALSE,1,1,904.755,413.505,FALSE,1,1,TRUE,TRUE,335921,,0,3229,1,335921,,0,3229,1,FALSE,0,0,0,0.277949183,893.0669675,0.17963026,-0.03246149,3357,335921,20.42967181,6.4613,91,675829,66.9,77.9,88.4,98.4,0.027985561,56.11472516,,,19.93960116,16.2909,8.9436,403.1631,574.1282,276.4607,2960.214756,12869.94679,745.975,268.2334,145.6797,468.8554,1.264582954,1.308555658,1.0062,177.7404,572.7092,339.6235,5.092011422,6.14476098,4.346479,289.6248,464.0764,282.4689,1.537034022,0.866616525,0.00E+00,634.9289,663.8208,553.7568,0.00120872,0.066334257,0.484306561,1.067005846,0.495244823,0.150295331,0.294057944,0.154340273,0.484306561,1.067005846,0.495244823,0.464308451,0.648822646,0.469852772,0.410368768,0.696783496,0.416844642
976815020,14/02/2000,14/02/2000,,"[-316, -64, -40, 5]",408.57,ChoicePoint Inc,DBT Online,65156,63509,46,46,253,253,100,100,100,TRUE,541.407,1075.509,TRUE,1,1,404.362,446.0885,TRUE,1,1,TRUE,TRUE,541511,,0,7323,1,334611,,0,7323,1,FALSE,1,0,0,2.795531171,12.31997297,0.16133126,0.17003172,7323,541511,20.42967181,6.4613,48953,60125952,4.1,7.1,12.7,20.3,0.165294158,75.22338926,,,33.6262612,15.533,10.8979,500.9305,435.8494,402.2162,797.7676254,8809.317718,109.213,55.0472,114.924,39.5304,3.083766875,1.146952831,1.0676,618.474,352.3987,390.1042,14.53884412,8.458223374,5.57539504,846.3735,713.1053,538.5725,40.78262788,3.438125531,5.09595376,910.0734,724.5329,845.28,-0.023869565,-0.036151371,-0.023113459,-0.234271157,-0.089619797,-0.018367383,0.044911931,0.000181484,-0.023113459,-0.234271157,-0.089619797,0.007560247,-0.110142054,-0.028229506,-0.11250091,-0.272669543,-0.162345437
977941020,16/02/2000,16/02/2000,,"[-316, -64, -40, 5]",274.524,Healtheon/WebMD Inc,OnHealth Network Co,115404,28973,46,46,192,253,100,100,100,TRUE,,2836.436188,FALSE,1,1,140.928,246.4083698,FALSE,0.798601881,1,TRUE,TRUE,334611,,0,7370,1,,,0,7370,1,FALSE,1,0,0,-7.514970563,-9423.376038,-0.40211409,-2.6443246,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,29.2017928,11.1885,9.1424,560.7946,350.8096,343.197,670.1679621,12472.23527,90.858,41.0781,207.0045,77.5003,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.40967533,9.763854288,5.46402366,789.6755,835.4307,486.2786,57.27389974,5.646066226,14.27464762,949.5536,887.8127,954.802,-0.007308812,-0.319428453,0.470863236,-0.001477059,0.467400352,0.147685133,0.123020447,0.147235974,0.470863236,-0.001477059,0.467400352,0.502332171,0.407359976,0.501342347,0.566375635,0.20366144,0.562043611
978375020,17/02/2000,26/10/1999,18/11/1999,"[-316, -64, -67, 5]",878.298,International Paper Co,Shorewood Packaging Corp,6104,13553,73,73,253,252,100,100,100,TRUE,20988.817,22308.06456,TRUE,1,1,374.599,339.3325,TRUE,1,1,TRUE,TRUE,322121,,0,2621,1,322121,,0,2621,1,FALSE,1,0,1,0.028849898,130.2060046,0.08354834,0.16267705,2621,322121,20.42967181,6.4613,174,24145138,59.3,73.9,87.5,96.8,0.03689302,52.22859396,,,13.67890403,14.4447,12.5689,276.8386,376.0647,503.8184,5621.331059,15963.84568,2495.038,467.9474,174.3238,811.2573,1.408088013,1.292994013,1.1623,253.0974,555.2373,479.2442,9.018224853,7.135895939,6.734962525,726.6965,592.7617,758.6818,0.570870735,1.167708179,0.0328886,525.7543,685.2188,677.5693,0.002243246,0.181195011,-0.456589079,0.55017702,-0.451455971,-0.179123027,0.11969166,-0.176945176,-0.408304842,0.170726457,-0.40485104,-0.384486674,0.165705154,-0.380909015,-0.429603708,0.130053693,-0.426224113
977805020,17/02/2000,17/02/2000,,"[-316, -64, -40, 5]",1504.728,Lennar Corp,US Home Corp,6669,10950,46,46,253,253,100,100,100,TRUE,959.275,764.01675,FALSE,1,1,370.131,342.7798125,TRUE,1,1,TRUE,TRUE,236115,,0,6552,1,236115,,0,6552,1,FALSE,0,0,0,0.478966853,1.4857173,0.12736764,0.06724731,1521,236115,20.42967181,6.4613,,,,,,,0.00645009,,,,55.07778448,51.9569,40.5141,503.4203,961.6397,961.6397,3316.41651,43494.28587,500.398,381.1207,302.8244,381.1207,2.636524444,1.185639814,2.0907,332.0564,342.5554,609.6572,38.73207415,9.279706677,17.67906404,961.6397,772.8342,961.6397,1.214089074,0.474979022,0.00E+00,189.8635,454.356,38.4768,-0.065852342,-0.001708127,0.04969035,0.33056442,0.15574091,-0.030261582,0.255675437,0.077975939,0.04969035,0.33056442,0.15574091,0.013698837,0.240300591,0.101345442,0.030885525,0.325350642,0.141727737
979844020,21/02/2000,21/02/2000,,"[-316, -64, -40, 5]",41.896,Ennis Business Forms Inc,Northstar Computer Forms Inc,4390,19103,46,31,253,162,100,100,100,TRUE,131.135,130.024,TRUE,1,1,29.185,26.3725,TRUE,1,1,TRUE,TRUE,323116,,0,2782,1,323116,,0,2782,1,FALSE,0,0,0,0.307701731,5.772943214,0.2795993,0.25619892,2761,323116,20.42967181,6.4613,559,4761758,34.1,49.8,67.8,80.7,0.03689302,33.28181916,,,14.62354466,9.1834,8.0703,310.6081,215.4265,256.4392,2456.903105,4980.589411,1322.4645,192.4904,60.1184,654.8236,1.556865431,1.383459528,1.2322,268.1675,590.3575,518.5964,344.4170962,8.380353089,7.04280323,995.2764,693.4352,773.8514,0.620366263,0.128654393,0.00E+00,540.8244,337.2997,662.4992,-0.034207479,-0.383359821,-0.056154053,0.258203265,0.036377919,-0.013743297,,,-0.056154053,0.258203265,0.036377919,-0.097130047,0.212924592,-0.046546683,-0.027925142,0.197280334,0.014721731
