deal_no,date,date_original,hoda,win,deal_val,acq_name,tar_name,acq_gvkey,tar_gvkey,acq_ev_len,tar_ev_len,acq_es_len,tar_es_len,acquired,own,sought,control,acq_mv_tom,acq_mv,acq_mv_valid,acq_factor,acq_p_classes,tar_mv_tom,tar_mv,tar_mv_valid,tar_factor,tar_p_classes,acq_ultimo,tar_ultimo,acq_naics_tom,acq_naics,acq_naics_valid,acq_sic,acq_sic_crsp,acq_sic_crsp_valid,tar_naics,tar_naic_crsp,tar_naics_crsp_valid,tar_sic,tar_sic_crsp,tar_sic_crsp_valid,hor_level,fin_indu,acq_acq_oth,tar_tar_oth,tar_tar_oth_tom,acq_bm,tar_bm,acq_eb_at,tar_eb_at,com_siccd,com_naics,com_growth,bea_growth,estab,rcptot,c4,c8,c20,c50,USBC_rd_ratio,USBC_sal_ratio,USBC_export,USBC_import,com_grow_equal_w,com_grow_market_w,com_grow_median_w,com_grow_equal_p,com_grow_market_p,com_grow_median_p,com_assets_equal_w,com_assets_market_w,com_assets_median_w,com_assets_equal_p,com_assets_market_p,com_assets_median_p,com_atrv_equal_w,com_atrv_market_w,com_atrv_median_w,com_atrv_equal_p,com_atrv_market_p,com_atrv_median_p,com_fxvc_equal_w,com_fxvc_market_w,com_fxvc_median_w,com_fxvc_equal_p,com_fxvc_market_p,com_fxvc_median_p,com_xrd_equal_w,com_xrd_market_w,com_xrd_median_w,com_xrd_equal_p,com_xrd_market_p,com_xrd_median_p,assets_relprev,assets_rel,"acq_car_[-40, 5]","tar_car_[-40, 5]","com_car_[-40, 5]","acq_car_(-5, 5)","tar_car_(-5, 5)","com_car_(-5, 5)","acq_car_(-40, 5)","tar_car_(-40, 5)","com_car_(-40, 5)","acq_car_(-20, 5)","tar_car_(-20, 5)","com_car_(-20, 5)","acq_car_(-30, 5)","tar_car_(-30, 5)","com_car_(-30, 5)"
1013767020,08/06/2000,08/06/2000,,"[-316, -64, -40, 5]",289.818,Molecular Devices Corp,LJL Biosystems Inc,61706,66658,46,46,253,227,100,100,100,TRUE,498.611,1089.62,1,1,1,171.469,460.98,0,1,1,1,1,334516,,0,3826,3820,1,334516,,0,3826,3820,1,4,FALSE,0,0,0,8.118131868,111.4130879,0.24045961,-0.57257278,3826,334516,20.42967181,6.4613,526,4958699,36.9,50.4,67.8,82.2,0.086674621,56.99387637,,,31.54336792,36.5462,23.8356,574.5473,723.7857,733.2543,199.7474615,1206.233826,68.167,3.3535,20.1754,5.5819,2.164638817,1.005857749,1.105,489.949,264.8728,386.6283,6.514103231,5.186520182,4.96544515,472.5659,274.418,377.3247,34.00561308,9.833573151,11.9907454,924.9992,923.7561,942.8785,-0.037809225,-0.174857053,-0.091547707,-0.050198995,-0.097276964,0.176319141,0.660308989,0.222565403,-0.091547707,-0.050198995,-0.097276964,0.178683181,0.26095231,0.189552341,0.313475401,0.329677444,0.312710463
1020019020,27/06/2000,27/06/2000,,"[-316, -64, -40, 5]",476.52,Media Metrix Inc,Jupiter Communications Inc,120314,124679,46,46,224,117,100,100,100,TRUE,565.432,729.840375,1,1,1,312.019,264.31475,1,1,1,1,1,541910,,0,8732,8730,1,541720,,0,8732,8730,1,4,FALSE,0,0,0,1.623664683,11.86770911,-0.06290957,-0.00305618,8732,541910,20.42967181,6.4613,5460,10890323,23.2,34.4,45.6,54.4,0.032996483,33.94544764,,,30.02590313,12.3477,7.1617,570.4969,372.3064,261.1336,379.1095,1553.635214,118.3665,16.7772,27.6283,98.0882,28.41626203,1.350128937,2.293,992.7452,526.6232,641.7709,7.138279867,6.490192732,6.35169794,538.9232,566.1677,695.3053,852.1258362,5.187354335,19.88400213,995.3534,858.0141,963.9998,-0.07308634,-0.05344335,-0.072977709,0.243792469,0.116818559,-0.099223346,0.110388184,-0.032290578,-0.072977709,0.243792469,0.116818559,-0.065578081,0.360176128,0.133225551,0.008886443,0.220300683,0.164154203
1024706020,13/07/2000,13/07/2000,,"[-316, -64, -40, 5]",3523.468,King Pharmaceuticals Inc,Jones Pharmaceutical Inc,112033,12382,46,46,253,253,100,100,100,TRUE,3582.179,2492.62675,0,1,1,2300.307,2040.598125,1,1,1,1,1,325412,,0,2834,2830,1,325412,,0,2834,2830,1,4,FALSE,0,0,0,12.551039,8.754075662,0.19248742,0.26369793,2834,325412,20.42967181,6.4613,731,84611875,34.9,53.1,77.4,89.8,0.060051262,56.50470747,,,80.27850064,18.2335,11.9182,903.7318,515.2159,436.9494,9076.61236,23422.03227,2921.6,429.8379,413.9953,352.7406,3.531062666,1.267468465,1.5511,797.0317,476.479,569.865,8.81484396,6.899345571,6.34657113,691.6671,607.8922,659.5965,80.62302976,13.65605022,13.58125318,980.5793,967.8772,970.1302,-0.03477787,-0.230956492,-0.298088714,-0.232743267,-0.262878754,-0.275959553,-0.219217232,-0.245977451,-0.298088714,-0.232743267,-0.262878754,-0.242786541,-0.067038802,-0.147989673,-0.197568843,-0.182727509,-0.19126458
1034419020,08/08/2000,08/08/2000,07/08/2000,"[-316, -64, -40, 5]",11826.922,FirstEnergy Corp,GPU Inc,8099,5079,46,46,253,253,100,100,100,TRUE,5719.507,5647.995,1,1,1,3418.793,3312.019125,1,1,1,1,1,221122,,0,4911,4911,1,221122,,0,4911,4911,1,4,FALSE,0,0,1,0.530675941,0.807659011,0.1357215,0.07145055,4911,221122,20.42967181,6.4613,7325,244008558,17.7,31.4,55.8,81.2,0.043712847,62.9071996,,,32.79820713,39.3778,22.6726,691.2528,743.2197,695.4549,14437.97093,33560.64994,7697.017,554.398,499.6974,700.215,2.663188991,2.253896195,2.5065,683.503,725.8776,733.6729,14.5383854,10.97700464,12.22138743,839.7361,858.0241,824.9075,0.027117533,0.009559417,0.00E+00,422.953,426.8284,323.9697,0.08192953,0.106244595,0.072397764,0.155179138,0.095164866,0.016048201,0.177084039,0.057904182,0.072397764,0.155179138,0.095164866,0.075739876,0.169781007,0.101167913,0.076430405,0.146509574,0.095674688
1037764020,16/08/2000,16/08/2000,,"[-316, -64, -40, 5]",82.769,iTurf Inc,Delia s Inc,119474,64184,46,46,253,253,100,100,100,TRUE,75.258,97.7993252,1,0.4204,1,47.213,46.1978125,1,1,1,1,1,454111,,0,5961,5960,1,454111,,0,5961,5960,1,4,FALSE,1,0,0,0.54381077,0.915535425,-0.17193271,-0.18915453,5961,454111,20.42967181,6.4613,5498,24057284,28.2,35.2,50,63,0.005887964,,,,9.441199368,20.1349,8.3905,233.1636,586.5417,299.8974,307.2255789,1003.073869,111.27,10.3391,16.2035,95.9913,0.581184401,0.406139086,0.4983,26.156,24.9581,20.0371,4.511505632,1.350903352,1.93454801,247.4361,82.5564,141.059,0.005830947,0.012996927,0.00E+00,258.2578,349.453,438.4014,-0.195970669,-0.020718585,-0.328170103,0.52141931,-0.162104096,-0.556025933,0.253302533,-0.397253089,-0.328170103,0.52141931,-0.162104096,-0.549979721,0.152396446,-0.405747582,-0.379039585,0.228804648,-0.249077193
1045800020,13/09/2000,13/09/2000,,"[-316, -64, -40, 5]",57.179,barnesandnoble.com Inc,Fatbrain.com Inc,120773,114958,46,46,253,253,100,100,100,TRUE,124.581,258.745914,1,1,1,50.526,125.530625,1,1,1,1,1,451211,,0,5942,5730,1,451211,,0,5942,5730,1,4,FALSE,1,0,0,1.04017687,6.971089097,-0.16010613,-0.61095636,5942,451211,20.42967181,6.4613,10860,15060984,65.6,70.9,74.1,77.4,0.005887964,12.31855987,,,8.080650724,14.0022,10.0274,136.9211,362.3161,383.8676,673.8161034,4601.475943,119.118,28.1621,51.9927,60.3296,0.600692327,0.402028231,0.4983,20.5379,5.0941,10.4747,3.943450103,1.616177213,1.93454801,159.6435,116.6789,135.4253,0.003820276,0.003843209,0.00E+00,124.5397,171.5212,50.4712,0.010577986,0.011871791,0.064423038,-0.379542512,-0.06051224,0.382417317,0.150024226,0.322068326,0.064423038,-0.379542512,-0.06051224,0.380432556,0.150373479,0.320621187,0.194446217,-0.339779814,0.036107265
1052062020,26/09/2000,22/12/1999,22/12/1999,"[-316, -64, -40, 5]",70.769,Landry's Seafood Restaurants,Rainforest Cafe Inc,28765,31700,46,46,253,253,95.601,100,95.601,TRUE,175.486,200.1354375,0,1,1,107.026,67.941,1,1,1,1,1,722110,,0,5812,5812,1,722110,,0,5812,5812,1,4,FALSE,1,1,1,0.180048655,0.978126481,0.10150063,0.12680539,5812,722110,20.42967181,6.4613,195659,144649964,8.6,11,15.5,20.7,0.043712847,11.98499508,,,7.912128091,2.472,7.4189,229.8247,112.8185,279.822,2861.752636,12882.46429,389.375,152.1642,263.8606,67.1466,0.854557186,1.17200249,0.765,124.2737,427.0166,121.7537,5.536475364,7.36731292,5.19387326,387.8158,644.84,464.4181,0.084151545,0.115415849,0.00E+00,515.6349,478.253,437.6381,-0.053174731,-0.16684151,-0.028981587,0.365484215,0.017982398,-0.022144148,0.387526638,0.023158152,-0.028981587,0.365484215,0.017982398,-0.129433303,0.380357204,-0.072841626,-0.075853099,0.506699102,-0.012527413
1051501020,28/09/2000,28/09/2000,27/09/2000,"[-316, -64, -40, 5]",279.85,Pilgrim's Pride Corp,WLR Foods Inc,12785,12309,46,46,253,253,100,100,100,TRUE,280.101,291.0921367,1,0.9241,2,74.834,73.3005,1,1,1,1,1,311615,,0,2015,2015,1,311615,,0,2015,2015,1,4,FALSE,0,0,0,0.211260725,2.022386054,0.21792053,0.21626305,2015,311615,20.42967181,6.4613,310,19175358,53.8,65.6,81.1,93.8,0.03689302,19.9487163,,,4.502133961,1.8981,4.7686,109.8237,126.3669,122.6958,4152.077216,16359.30562,1124.039,380.6503,197.8959,636.8744,1.281573284,1.120702955,1.039,198.0915,262.0448,360.6977,5.91591449,4.543086122,5.20061563,316.3696,225.8744,489.6303,0.348664588,0.258505976,0.00E+00,465.8011,456.3628,434.6635,-0.043838895,-0.177681387,-0.017544352,1.202089873,0.280231108,-0.058355014,0.887058982,0.194222004,-0.017544352,1.202089873,0.280231108,-0.012707375,1.171055328,0.279482937,0.047197181,1.187775955,0.333349805
975927020,03/10/2000,31/01/2000,31/01/2000,"[-316, -64, -40, 5]",699.563,Thoratec Cardiosystems Inc,Thermo Cardiosystems Inc,10550,15113,46,46,253,253,100,100,100,TRUE,434.309,392.8075,1,1,1,284.425,390.48075,1,1,1,1,1,334517,,0,3845,8070,1,334517,,0,3845,8070,1,4,FALSE,0,0,1,19.25827333,4.05206829,-0.05826018,0.06227343,3845,334517,20.42967181,6.4613,154,2516308,49.1,72.3,87.7,96.5,0.086674621,61.04377157,,,705.6916381,10.2464,15.3976,998.1557,319.8432,549.497,338.9294684,3671.687111,38.476,13.0848,84.235,1.7256,1.852843186,1.235778243,1.345,455.9182,463.9854,516.6029,6.190602886,6.707807692,5.37232641,449.4467,572.126,471.5885,32.7490759,8.53730733,11.96326632,922.8565,921.6133,940.7357,-0.352169295,-0.094897656,-0.237752588,0.053074941,-0.149724733,-0.343778612,0.029417196,-0.243761955,-0.237752588,0.053074941,-0.149724733,-0.26379155,0.066907104,-0.17260581,-0.207223524,0.042432065,-0.132833129
1056683020,16/10/2000,16/10/2000,,"[-316, -64, -40, 5]",853.872,Corixa Corp,Coulter Pharmaceuticals Inc,65578,64299,46,46,253,253,100,100,100,TRUE,1009.572,858.032,1,0.9079,1,568.992,433.8365625,0,1,1,1,1,325414,,0,2836,2830,1,325414,,0,2836,2830,1,4,FALSE,0,0,0,7.640523459,9.884364164,-0.17293469,-0.52856948,2836,325414,20.42967181,6.4613,233,6005536,44.8,69.2,85.2,94.4,0.060051262,64.4143891,,,118.7136709,19.1882,14.6508,953.4477,559.1999,512.024,2022.373901,24270.64465,88.597,169.0565,404.1464,51.3798,10.20868122,1.26727441,2.9719,925.9369,483.1747,824.0105,6.671547722,6.25084222,5.99949742,494.2183,528.1192,668.9497,298.209228,13.45676179,44.55722062,976.1161,982.2824,982.4377,-0.103081691,-0.302202575,-0.212840035,0.417712196,-0.027917704,-0.180146204,0.18210321,-0.078237589,-0.212840035,0.417712196,-0.027917704,-0.253729187,0.052081939,-0.158399608,-0.297721553,0.255000719,-0.133696875
